,solar,P_solar_max,P_solar_min,P_load,load_min,load_max,SOC_min,SOC_max,P_batt_max,P_batt_min,battery_eta,import_price,export_price,raise_price,lower_price,nu,P_solar,P_meter,P_batt,SOC,Online,import_DOE,export_DOE,import_IOE,export_IOE,settled_revenue,aggregator,R_bid,L_bid
67,0.0,0,-10,0.6217158664191866,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00222,0.0041,0.1,0.0,5.621715866419187,5.0,3.179365362977263,1,32.999998459423935,-15.0,33.0,-15.0,-0.06842144833023983,1,10.0,0.0
68,0.0,0,-10,0.4968337525527866,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00251,0.0041,0.1,0.0,5.496833752552794,5.000000000000007,3.5543653629772636,1,32.99999841790772,-15.0,33.0,-15.0,-0.06661875524024324,1,10.000000000000007,-7.105427357601002e-15
69,0.0,0,-10,0.4534826874351467,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0026,0.0041,0.1,0.0,5.453482687435146,5.0,3.9293653629772636,1,32.999998417313684,-15.0,33.0,-15.0,-0.06600186692627266,1,10.0,0.0
70,0.0,0,-10,0.4561920108356664,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0034,0.0041,0.1,0.0,5.456192010835666,5.0,4.304365362977263,1,32.99999893785147,-15.0,33.0,-15.0,-0.06536906680211249,1,10.0,0.0
71,0.0,0,-10,0.6734805515999999,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00339,0.003,0.1,0.0,5.6734805516,5.0,4.679365362977263,1,32.99999844850794,-15.0,33.0,-15.0,-0.068093506895,1,10.0,0.0
72,0.0,0,-10,0.8457374145354072,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0029,0.003,0.1,0.0,5.8457374145354075,5.0,5.054365362977263,1,32.999998812451665,-15.0,33.0,-15.0,-0.07065505101502592,1,10.0,0.0
73,0.0,0,-10,0.6460020596656951,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.002,0.0066,0.1,0.0,0.6460020596656951,0.0,5.054365362977263,1,32.99999841594702,-15.0,33.0,-15.0,-0.004491692412487856,1,5.0,5.0
74,0.0,0,-10,0.619218780436656,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00299,0.0065,0.1,0.0,0.619218780436656,0.0,5.054365362977263,1,32.999999933170315,-14.999999991813297,33.0,-15.0,-0.0037860680887915332,1,5.0,5.0
75,0.0,0,-10,0.610723748903,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00288,0.004,0.1,0.0,5.610723748903,5.0,5.429365362977263,1,32.99999845459037,-15.0,33.0,-15.0,-0.06773404686128749,1,10.0,0.0
76,0.0,0,-10,0.6780735790246665,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00324,0.004,0.1,0.0,5.678073579024667,5.0,5.804365362977263,1,32.99999883923946,-15.0,33.0,-15.0,-0.06827591973780833,1,10.0,0.0
77,-0.0131561520457627,0,-10,0.6849014826420678,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0029,0.004,0.1,-0.0131561520457627,5.671745330596291,4.999999999999986,6.179365362977262,1,32.999998419813615,-15.0,33.0,-15.0,-0.06847576458177171,1,9.999999999999986,0.01315615204577691
78,-0.0114833015639344,0,-10,0.6420366934860657,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0029,0.00381,0.1,-0.0114833015639344,5.630553391922145,5.000000000000014,6.554365362977263,1,32.9999984174187,-15.0,33.0,-15.0,-0.0679616047841136,1,10.000000000000014,0.01148330156392019
79,-0.0495877805728813,0,-10,0.5278522164751189,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00299,0.003,0.1,-0.0495877805728813,5.478264435902223,4.999999999999986,6.929365362977262,1,32.99999880191138,-14.999999948454112,33.0,-15.0,-0.0659742418369679,1,9.999999999999986,0.049587780572895514
80,-0.10596833534,0,-10,0.5657916623159995,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00387,0.00239,0.1,-0.10596833534,5.459823326975999,5.0,7.304365362977262,1,32.99999881495349,-15.0,33.0,-15.0,-0.0650016862270781,1,10.0,0.10596833534
81,-0.1190770024533333,0,-10,0.5765480935217855,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00379,0.00239,0.1,-0.1190770024533333,5.457471091068452,5.0,7.679365362977262,1,32.99999843918112,-15.0,33.0,-15.0,-0.06503633913536702,1,10.0,0.1190770024533333
82,-0.1217680024633333,0,-10,0.3580831514334864,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.0034,0.00239,0.1,-0.1217680024633333,5.236315148970154,5.0,8.054365362977261,1,32.99999841927387,-15.0,33.0,-15.0,-0.0625963539016363,1,10.0,0.1217680024633333
83,-0.1109451522449999,0,-10,0.3763315198956667,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.15,0.08,0.00637,0.00233,0.1,-0.1109451522449999,5.265386367650667,5.0,8.429365362977261,1,32.99999842851467,-15.0,33.0,-15.0,-0.060487454411905756,1,10.0,0.1109451522449999
84,-0.2384500016749999,0,-10,0.0019333475613336,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00556015,0.00239,0.1,-0.2384500016749999,0.0,0.2365166541136574,8.447104112035786,1,32.999998443370856,-15.0,33.0,-15.0,0.0034225365645868047,1,5.236516654113657,5.001933347561343
85,-0.3755833342650001,0,-10,0.5791266663256671,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00455,0.00239,0.1,-0.3755833342650001,0.0,-0.203543332060667,8.428257507215354,1,32.99999882304747,-14.999999478336001,33.0,-15.0,0.002929832547636859,1,4.796456667939333,5.579126666325667
86,-0.7830961988016665,0,-10,0.8124361935983333,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00552,0.00209,0.1,-0.7830961988016665,0.0,-0.029339994796666824,8.425540841030477,0,33.0,-15.0,33.0,-15.0,0.0032988362394452426,1,4.970660005203333,5.812436193598333
87,-1.859754988555,0,-10,0.9777238005588312,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00637,0.00239,0.1,-1.859754988555,0.0,0.882031187996148,8.491693180130188,1,32.99999841499491,-15.0,33.0,-15.0,0.004312941545905926,1,5.882031187996148,5.977723800558852
88,-0.204343335005,0,-10,0.5864954569941478,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00677,0.00233,0.1,-0.204343335005,0.0,-0.38215212198914783,8.456308724390452,1,32.99999848414381,-15.0,33.0,-15.0,0.0036899470457441527,1,4.617847878010852,5.5864954569941485
89,-0.0958186441610169,0,-10,0.5524105042347455,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00677,0.00233,0.1,-0.0958186441610169,0.0,-0.45659186007372854,8.41403170030955,1,32.999998432374134,-15.0,33.0,-15.0,0.0036413324651806507,1,4.543408139926272,5.552410504234745
90,-0.1319250004383333,0,-10,0.4309549990640001,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.00634,0.00181,0.1,-0.1319250004383333,0.0,-0.2990299986256668,8.38634373747384,1,32.99999842762216,-15.0,33.0,-15.0,0.0033028481964182594,1,4.700970001374333,5.430954999064
91,-0.1700493334866666,0,-10,0.1637193317549998,0.0,28.0,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.01031,0.00189,0.1,-0.1700493334866666,0.0,0.006330001731697621,8.386818487603717,1,32.99999881458593,-15.0,33.0,-15.0,0.005114557654572557,1,5.006330001731698,5.163719331754969
