,solar,P_solar_max,P_solar_min,P_load,load_min,load_max,SOC_min,SOC_max,P_batt_max,P_batt_min,battery_eta,import_price,export_price,raise_price,lower_price,nu,P_solar,P_meter,P_batt,SOC,Online,import_DOE,export_DOE,upper_IOE,lower_IOE,Upper_DOE_Breach,Lower_DOE_Breach,settled_revenue,aggregator,R_bid,L_bid
97,-0.7863272692865448,0,-7,0.2419140012288003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.02533,0.00113,0.05,,,,,,,,,,,,,1,,
98,-1.238666658933336,0,-7,0.2497289992488,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.02036,0.00175,0.05,,,,,,,,,,,,,1,,
99,-2.6707636304312756,0,-7,0.1531559961060003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.02224442,0.00099,0.05,,,,,,,,,,,,,1,,
100,-3.271333320939996,0,-7,0.1537010862526368,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.03085,0.00115,0.05,,,,,,,,,,,,,1,,
101,-3.78130908444654,0,-7,0.1529887845923712,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.02536,0.00181,0.05,,,,,,,,,,,,,1,,
102,-2.7355555693333318,0,-7,0.20970365322117962,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.0308,0.00478,0.05,,,,,,,,,,,,,1,,
103,-2.651555562017784,0,-7,0.26085009701458084,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.02532,0.00191,0.05,,,,,,,,,,,,,1,,
104,-1.8366545521156319,0,-7,0.2998050022851003,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.02533,0.0013,0.05,,,,,,,,,,,,,1,,
105,-1.979333339804448,0,-7,0.3217530008124,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.02036,0.00185,0.05,,,,,,,,,,,,,1,,
106,-4.2700363540690915,0,-7,0.24417900215220062,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.02,0.00199,0.05,,,,,,,,,,,,,1,,
